Disneyland,Disneyland,Product,Amusement Park
Burberry,Burberry,Brand,Retail
Guarana Antarctica,guarana,Brand,Food/Beverage
Snaptu,snaptu,Brand,Technology
UFC (Ultimate Fighting Championship),ufc,Sports Team,
Playboy,Playboy,Brand,Media
Ferrari,ScuderiaFerrari,Brand,Automotive
Doritos,Doritos,Product,Food/Beverage
VANS,VANS_66,Brand,Retail
Dr Pepper,drpepper,Product,Food/Beverage
musica.com,musicapuntocom,Brand,Media
GUCCI,gucci,Brand,Retail
Walt Disney World,WaltDisneyWorld,Product,Amusement Park
Netflix,netflix,Brand,Technology
Christian Dior,Dior_US,Brand,Retail
Pixar,DisneyPixar,Brand,Technology
Macy's,Macys,Brand,Retail
Avon,Avon_UK,Brand,Retail
ESPN,espn,News,Sports
Victoria's Secret Pink,VSPINK,Product,Retail
PUMA,PUMA,Brand,Retail
Trident Gum,tridentgum,Product,Food/Beverage
Zoosk,Zoosk,Product,Technology
Nokia,nokia,Brand,Technology
Lacoste,LACOSTE,Brand,Retail
Tata Docomo,tatadocomo,Brand,Technology
The Sims 3,TheSims,Game,Product
Nissan,NissanUSA,Brand,Automotive
Dunkin' Donuts,DunkinDonuts,Brand,Food/Beverage
Skol,skol,Brand,Food/Beverage
DC Shoes,dcshoes,Brand,Retail
Barbie,Barbie,Product,Retail
Budweiser,Budweiser,Brand,Food/Beverage
Yahoo!,Yahoo,Brand,Technology
Game Loft,gameloft,Game,Brand
NFL,nfl,Sports Team,NFL
Lamborghini,Lamborghini,Brand,Automotive
HBO,HBO,TV Show,HBO
Forever 21,Forever21,Brand,Retail
Funny Or Die,funnyordie,Brand,Media
Apple App Store,AppStore,Product,Technology
Starbucks Frappuccino,frappuccino,Product,Food/Beverage
Kohl's,Kohls,Brand,Retail
BBC World News,BBCWorld,News,World
Lego,LEGO_Group,Brand,Retail
Fox News,FoxNews,News,U.S.
Calvin Klein,CalvinKlein,Brand,Retail
American Eagle Outfitters,AEO,Brand,Retail
