i1,i2,i3,i4,i5,i6,i7,i8,i9
0,0,0,0,0,0,8,5,0
0,0,0,0,0,0,8,5,1
0,0,0,0,0,0,80,50,19
0,0,0,0,0,0,82,3,3
0,0,0,0,0,0,9,0,0
0,0,0,0,0,0,9,0,2
0,0,0,0,0,0,9,1,1
0,0,0,0,0,0,9,2,0
0,0,0,0,0,0,9,2,1
0,0,0,0,0,0,9,3,1
0,0,0,0,0,0,91,86,28
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,1
0,0,0,0,0,1,0,0,2
0,0,0,0,0,1,0,0,472
0,0,0,0,0,1,0,0,6
0,0,0,0,0,1,0,1,0
0,0,0,0,0,1,0,1,1
0,0,0,0,0,1,0,1,10
0,0,0,0,0,1,0,1,19
0,0,0,0,0,1,0,1,2
0,0,0,0,0,1,0,2,0
0,0,0,0,0,1,0,2,1
0,0,0,0,0,1,0,2,2
0,0,0,0,0,1,0,2,3
0,0,0,0,0,1,0,2,6
0,0,0,0,0,1,0,3,0
0,0,0,0,0,1,0,3,3
0,0,0,0,0,1,0,4,0
0,0,0,0,0,1,0,7,3
0,0,0,0,0,1,1,0,0
0,0,0,0,0,1,1,0,1
0,0,0,0,0,1,1,0,2
0,0,0,0,0,1,1,0,3
0,0,0,0,0,1,1,0,4
0,0,0,0,0,1,1,1,0
0,0,0,0,0,1,1,1,1
0,0,0,0,0,1,1,1,2
0,0,0,0,0,1,1,2,0
0,0,0,0,0,1,1,2,1
0,0,0,0,0,1,1,3,1
0,0,0,0,0,1,1,3,2
0,0,0,0,0,1,1,4,0
0,0,0,0,0,1,1,4,1
0,0,0,0,0,1,2,0,0
0,0,0,0,0,1,2,0,1
0,0,0,0,0,1,2,1,0
0,0,0,0,0,1,2,1,2
0,0,0,0,0,1,2,2,0
0,0,0,0,0,1,2,3,0
0,0,0,0,0,1,3,0,0
0,0,0,0,0,1,3,0,1
0,0,0,0,0,1,3,1,0
0,0,0,0,0,1,3,2,0
0,0,0,0,0,1,3,30,3
0,0,0,0,0,1,4,0,0
0,0,0,0,0,1,4,0,2
0,0,0,0,0,1,4,1,0
0,0,0,0,0,1,4,1,2
0,0,0,0,0,1,4,2,1
0,0,0,0,0,1,4,3,0
0,0,0,0,0,1,5,0,0
0,0,0,0,0,1,5,3,1
0,0,0,0,0,1,6,0,0
0,0,0,0,0,1,6,10,4
0,0,0,0,0,1,7,10,4
0,0,0,0,0,1,7,4,13
0,0,0,0,0,1,7,6,6
0,0,0,0,0,1,8,3,0
0,0,0,0,0,1,8,3,1
0,0,0,0,0,10,0,0,0
0,0,0,0,0,10,0,1,0
0,0,0,0,0,10,2,0,0
0,0,0,0,0,10,3,0,0
0,0,0,0,0,10,3,1,2
0,0,0,0,0,10,7,4,2
0,0,0,0,0,11,0,0,0
0,0,0,0,0,11,5,1,0
0,0,0,0,0,11,7,4,2
0,0,0,0,0,12,0,0,0
0,0,0,0,0,12,0,1,0
0,0,0,0,0,12,1,0,0
0,0,0,0,0,125,28,7,4
0,0,0,0,0,13,0,0,0
0,0,0,0,0,13,2,1,0
0,0,0,0,0,13,3,0,0
0,0,0,0,0,13,4,1,2
0,0,0,0,0,14,0,1,0
0,0,0,0,0,14,6,1,0
0,0,0,0,0,14,8,4,3
0,0,0,0,0,16,6,6,0
0,0,0,0,0,167,50,11,27
0,0,0,0,0,167,51,11,27
0,0,0,0,0,17,7,6,0
0,0,0,0,0,171,53,11,27
0,0,0,0,0,18,0,0,1
0,0,0,0,0,19,1,0,0
0,0,0,0,0,2,0,0,0
0,0,0,0,0,2,0,0,1
0,0,0,0,0,2,0,0,10
0,0,0,0,0,2,0,0,2
0,0,0,0,0,2,0,0,4
0,0,0,0,0,2,0,1,0
0,0,0,0,0,2,0,1,1
0,0,0,0,0,2,0,2,1
0,0,0,0,0,2,0,5,0
0,0,0,0,0,2,0,7,0
0,0,0,0,0,2,1,0,0
0,0,0,0,0,2,1,0,1
0,0,0,0,0,2,1,0,2
0,0,0,0,0,2,1,0,3
0,0,0,0,0,2,1,1,0
0,0,0,0,0,2,1,2,1
0,0,0,0,0,2,1,3,0
0,0,0,0,0,2,1,9,3
0,0,0,0,0,2,10,0,0
0,0,0,0,0,2,11,11,4
0,0,0,0,0,2,2,0,0
0,0,0,0,0,2,2,0,2
0,0,0,0,0,2,2,1,0
0,0,0,0,0,2,2,2,0
0,0,0,0,0,2,2,2,2
0,0,0,0,0,2,3,0,0
0,0,0,0,0,2,3,0,1
0,0,0,0,0,2,3,1,0
0,0,0,0,0,2,4,0,0
0,0,0,0,0,2,4,2,3
0,0,0,0,0,2,6,0,0
0,0,0,0,0,2,6,1,1
0,0,0,0,0,2,8,8,1
0,0,0,0,0,20,0,4,0
0,0,0,0,0,20,1,1,0
0,0,0,0,0,22,1,1,0
0,0,0,0,0,23,0,0,0
0,0,0,0,0,26,0,0,0
0,0,0,0,0,265,51,16,77
0,0,0,0,0,265,51,25,77
0,0,0,0,0,265,51,25,80
0,0,0,0,0,27,0,0,0
0,0,0,0,0,28,20,5,1
0,0,0,0,0,28,8,4,1
0,0,0,0,0,3,0,0,0
0,0,0,0,0,3,0,0,1
0,0,0,0,0,3,0,1,0
0,0,0,0,0,3,0,2,0
0,0,0,0,0,3,0,30,19
0,0,0,0,0,3,1,0,0
0,0,0,0,0,3,1,0,2
0,0,0,0,0,3,1,1,0
0,0,0,0,0,3,1,1,1
0,0,0,0,0,3,1,2,0
0,0,0,0,0,3,2,0,0
0,0,0,0,0,3,2,1,0
0,0,0,0,0,3,2,2,0
0,0,0,0,0,3,3,0,0
0,0,0,0,0,3,4,1,3
0,0,0,0,0,3,5,2,0
0,0,0,0,0,3,7,3,0
0,0,0,0,0,31,7,5,5
0,0,0,0,0,32,26,5,1
0,0,0,0,0,33,0,0,0
0,0,0,0,0,33,19,5,3
0,0,0,0,0,33,28,5,1
0,0,0,0,0,35,0,0,0
0,0,0,0,0,35,4,0,0
0,0,0,0,0,36,1,0,0
0,0,0,0,0,36,6,0,0
0,0,0,0,0,38,68,0,0
0,0,0,0,0,4,0,0,0
0,0,0,0,0,4,0,0,1
0,0,0,0,0,4,0,0,3
0,0,0,0,0,4,1,0,0
0,0,0,0,0,4,1,1,1
0,0,0,0,0,4,12,2,0
0,0,0,0,0,4,2,0,0
0,0,0,0,0,4,2,0,1
0,0,0,0,0,4,3,0,0
0,0,0,0,0,4,3,1,0
0,0,0,0,0,4,3,2,0
0,0,0,0,0,4,4,0,0
0,0,0,0,0,4,7,8,2
0,0,0,0,0,40,17,11,4
0,0,0,0,0,41,0,0,0
0,0,0,0,0,44,2,1,0
0,0,0,0,0,46,0,0,1
0,0,0,0,0,47,0,35,0
0,0,0,0,0,5,0,0,0
0,0,0,0,0,5,0,1,0
0,0,0,0,0,5,1,0,0
0,0,0,0,0,5,1,3,0
0,0,0,0,0,5,2,1,0
0,0,0,0,0,5,3,0,0
0,0,0,0,0,5,3,0,1
0,0,0,0,0,5,5,2,2
0,0,0,0,0,53,8,3,0
0,0,0,0,0,53,8,4,0
0,0,0,0,0,59,2,1,0
0,0,0,0,0,6,0,0,0
0,0,0,0,0,6,0,0,1
0,0,0,0,0,6,0,1,0
0,0,0,0,0,6,0,2,0
0,0,0,0,0,6,1,0,0
0,0,0,0,0,6,13,4,0
0,0,0,0,0,6,2,6,7
0,0,0,0,0,6,29,16,7
0,0,0,0,0,6,3,0,0
0,0,0,0,0,6,3,1,0
0,0,0,0,0,6,5,2,2
0,0,0,0,0,673,224,75,35
0,0,0,0,0,68,25,1,0
0,0,0,0,0,7,0,0,0
0,0,0,0,0,7,0,1,0
0,0,0,0,0,7,1,0,0
0,0,0,0,0,7,1,1,0
0,0,0,0,0,7,2,2,1
0,0,0,0,0,7,20,6,0
0,0,0,0,0,7,3,1,0
0,0,0,0,0,7,3,2,0
0,0,0,0,0,79,3,3,2
0,0,0,0,0,8,0,0,0
0,0,0,0,0,8,0,0,5
0,0,0,0,0,8,0,1,0
0,0,0,0,0,8,0,2,0
0,0,0,0,0,8,1,1,0
0,0,0,0,0,8,1,2,0
0,0,0,0,0,8,2,1,0
0,0,0,0,0,8,2,3,0
0,0,0,0,0,8,5,0,4
0,0,0,0,0,80,50,22,8
0,0,0,0,0,82,3,3,2
0,0,0,0,0,9,0,0,1
0,0,0,0,0,9,0,2,3
0,0,0,0,0,9,1,1,0
0,0,0,0,0,9,2,0,0
0,0,0,0,0,9,2,1,0
0,0,0,0,0,9,3,1,0
0,0,0,0,0,91,86,32,14
0,0,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,1
0,0,0,0,1,0,0,0,2
0,0,0,0,1,0,0,0,3
0,0,0,0,1,0,0,0,4
0,0,0,0,1,0,0,0,5
